year,True_value,Prediction_natural_trend,Prediction_natural_trend_95ll,Prediction_natural_trend_95up,Prediction_natural_trend_20%greater,Prediction_natural_trend_20%greater_95ll,Prediction_natural_trend_20%greater_95up
1990,163.3423675,163.3423675,163.3423675,163.3423675,163.3423675,163.3423675,163.3423675
1991,170.109109,170.109109,170.109109,170.109109,170.109109,170.109109,170.109109
1992,176.3546867,176.3546867,176.3546867,176.3546867,176.3546867,176.3546867,176.3546867
1993,181.5545789,181.5545789,181.5545789,181.5545789,181.5545789,181.5545789,181.5545789
1994,185.2001788,185.2001788,185.2001788,185.2001788,185.2001788,185.2001788,185.2001788
1995,186.7858083,186.7858083,186.7858083,186.7858083,186.7858083,186.7858083,186.7858083
1996,188.4264776,188.4264776,188.4264776,188.4264776,188.4264776,188.4264776,188.4264776
1997,191.7940707,191.7940707,191.7940707,191.7940707,191.7940707,191.7940707,191.7940707
1998,195.6771043,195.6771043,195.6771043,195.6771043,195.6771043,195.6771043,195.6771043
1999,198.9306823,198.9306823,198.9306823,198.9306823,198.9306823,198.9306823,198.9306823
2000,200.3993253,200.3993253,200.3993253,200.3993253,200.3993253,200.3993253,200.3993253
2001,200.2222383,200.2222383,200.2222383,200.2222383,200.2222383,200.2222383,200.2222383
2002,199.5576348,199.5576348,199.5576348,199.5576348,199.5576348,199.5576348,199.5576348
2003,198.8559196,198.8559196,198.8559196,198.8559196,198.8559196,198.8559196,198.8559196
2004,198.5976797,198.5976797,198.5976797,198.5976797,198.5976797,198.5976797,198.5976797
2005,199.2163005,199.2163005,199.2163005,199.2163005,199.2163005,199.2163005,199.2163005
2006,200.9688102,200.9688102,200.9688102,200.9688102,200.9688102,200.9688102,200.9688102
2007,203.524688,203.524688,203.524688,203.524688,203.524688,203.524688,203.524688
2008,206.5556072,206.5556072,206.5556072,206.5556072,206.5556072,206.5556072,206.5556072
2009,209.7298178,209.7298178,209.7298178,209.7298178,209.7298178,209.7298178,209.7298178
2010,212.7021829,212.7021829,212.7021829,212.7021829,212.7021829,212.7021829,212.7021829
2011,215.8920642,215.8920642,215.8920642,215.8920642,215.8920642,215.8920642,215.8920642
2012,219.6363436,219.6363436,219.6363436,219.6363436,219.6363436,219.6363436,219.6363436
2013,223.5342455,223.5342455,223.5342455,223.5342455,223.5342455,223.5342455,223.5342455
2014,227.1832904,227.1832904,227.1832904,227.1832904,227.1832904,227.1832904,227.1832904
2015,230.1701983,230.1701983,230.1701983,230.1701983,230.1701983,230.1701983,230.1701983
2016,232.5805973,232.5805973,232.5805973,232.5805973,232.5805973,232.5805973,232.5805973
2017,234.9155147,234.9155147,234.9155147,234.9155147,234.9155147,234.9155147,234.9155147
2018,237.4106546,237.4106546,237.4106546,237.4106546,237.4106546,237.4106546,237.4106546
2019,240.3178999,240.3178999,240.3178999,240.3178999,240.3178999,240.3178999,240.3178999
2020,241.471674,241.471674,241.471674,241.471674,241.471674,241.471674,241.471674
2021,244.5675795,244.5675795,244.5675795,244.5675795,244.5675795,244.5675795,244.5675795
2022,,267.4648196,264.2442355,270.6854038,265.8743601,262.7598868,268.9888334
2023,,273.6592266,270.1029925,277.2154607,273.4447753,269.9022586,276.987292
2024,,280.0116293,276.1101193,283.9131394,281.2994639,277.3262659,285.2726618
2025,,286.5496,282.3069389,290.7922612,289.5049829,285.1215941,293.8883718
2026,,293.3021781,288.7240774,297.8802788,298.1216752,293.3483123,302.8950381
2027,,300.2886245,295.3843864,305.1928626,307.1386729,302.0149619,312.262384
2028,,307.4992556,302.2898205,312.7086907,316.3974249,310.996182,321.7986679
2029,,314.8777711,309.4004514,320.3550909,325.5787265,319.9676751,331.189778
2030,,322.3127009,316.612968,328.0124338,334.3575057,328.5384012,340.1766102
2031,,329.6537322,323.7643791,335.5430853,342.7576044,336.6749718,348.840237
2032,,336.7658859,330.6883399,342.8434319,351.579842,345.1556687,358.0040153
2033,,343.6195076,337.3263992,349.912616,362.6422377,355.7469487,369.5375267
2034,,350.3871582,343.8389324,356.9353841,378.4132736,370.914883,385.9116641
2035,,357.5436557,350.6898398,364.3974715,401.074363,392.9741979,409.1745281
2036,,365.8842781,358.6520637,373.1164925,431.5500817,422.9350481,440.1651153
2037,,376.4261234,368.7345388,384.1177081,468.8202695,459.5096762,478.1308627
2038,,390.1978676,382.0046436,398.3910916,510.1029761,498.7236253,521.4823269
2039,,407.9859767,399.3181122,416.6538412,552.0833972,534.8438711,569.3229233
2040,,430.1425351,421.0651972,439.2198729,592.1104863,563.465524,620.7554486
